MARCA,CATEGORÍA,SUBCATEGORIA,PRODUCTO,TXT PRINCIPAL,PDF,2 FOTOS EN USO,PNG TRANSPARENTE,TXT descriptivo ,,TEXTO ARGUMENTOS DE VALOR,CARACTERISTICAS,Palabras clave,Trabajos Ideales,GRUPO,OBSERVACIONES imagenes,IMAGEN secundaria
,,MOTONIVELADORAS,620P,SI ,SI ,SI ,SI ,SI ,620P,"Destreza, Movilidad, Fuerza, algunas de las características de nuestras motoniveladoras John Deere, con su amplia gama de tamaños y capacidades, desde la 620 hasta la 872, todas con sus versiones en 6x6, la hacen la motoniveladora con una prestación superior sin elevar costos, configurable con circulo de cero mantenimiento NEVER GREASE, su desbloqueo de diferencial automático, clutch y sistema de absorción de golpes en la hoja, permite conservar la integridad del equipo en optimas condiciones operacionales, resultando en eficiencia  bajos costos operativos.","Potencia Neta: 150-200 HP (112-149 kW)
Par de Apriete Máximo Neto: 675 lb-ft (915 Nm)
Fuerza de Tiro de la Hoja: 14 091 kg (31 066 lb)
Reserva de Par de Apriete Neto: 37 %",,"Urbanización
Infraestructura carretera
Mantenimiento de caminos",,✓,
,,MOTONIVELADORAS,622P,SI ,SI ,SI ,SI ,SI ,622P,"Destreza, Movilidad, Fuerza, algunas de las características de nuestras motoniveladoras John Deere, con su amplia gama de tamaños y capacidades, desde la 620 hasta la 872, todas con sus versiones en 6x6, la hacen la motoniveladora con una prestación superior sin elevar costos, configurable con circulo de cero mantenimiento NEVER GREASE, su desbloqueo de diferencial automático, clutch y sistema de absorción de golpes en la hoja, permite conservar la integridad del equipo en optimas condiciones operacionales, resultando en eficiencia  bajos costos operativos.","Potencia Neta: 170-210 HP (127-157 kW)
Par de Apriete Máximo Neto: 675 lb-ft (915 Nm)
Fuerza de Tiro de la Hoja: 20 412 kg (45 000 lb)
Reserva de Par de Apriete Neto: 30 %",,"Urbanización
Infraestructura carretera
Mantenimiento de caminos",,✓,
,,MOTONIVELADORAS,670P,SI ,SI,SI ,SI ,SI ,670P,"Destreza, Movilidad, Fuerza, algunas de las características de nuestras motoniveladoras John Deere, con su amplia gama de tamaños y capacidades, desde la 620 hasta la 872, todas con sus versiones en 6x6, la hacen la motoniveladora con una prestación superior sin elevar costos, configurable con circulo de cero mantenimiento NEVER GREASE, su desbloqueo de diferencial automático, clutch y sistema de absorción de golpes en la hoja, permite conservar la integridad del equipo en optimas condiciones operacionales, resultando en eficiencia  bajos costos operativos.","Potencia Neta: 180-230 HP (134-172 kW)
Par de Apriete Máximo Neto: 882 lb-ft (1196 Nm)
Fuerza de Tiro de la Hoja: 15 501 kg (34 173 lb)
Reserva de Par de Apriete Neto: 56 %",,"Urbanización
Infraestructura carretera
Mantenimiento de caminos
Infraestructura minera",,✓,
,,MOTONIVELADORAS,672P,SI ,SI,SI ,SI ,SI ,672P,"Destreza, Movilidad, Fuerza, algunas de las características de nuestras motoniveladoras John Deere, con su amplia gama de tamaños y capacidades, desde la 620 hasta la 872, todas con sus versiones en 6x6, la hacen la motoniveladora con una prestación superior sin elevar costos, configurable con circulo de cero mantenimiento NEVER GREASE, su desbloqueo de diferencial automático, clutch y sistema de absorción de golpes en la hoja, permite conservar la integridad del equipo en optimas condiciones operacionales, resultando en eficiencia  bajos costos operativos.","Potencia Neta: 200-250 HP (149-187 kW)
Par de Apriete Máximo Neto: 1250 Nm (922 lb-ft)
Fuerza de Tiro de la Hoja: 22 453 kg (49 500 lb)
Reserva de Par de Apriete Neto: 51 %",,"Urbanización
Infraestructura carretera
Mantenimiento de caminos
Infraestructura minera",,✓,
,,MOTONIVELADORAS,770P,,,,,,770P,"Destreza, Movilidad, Fuerza, algunas de las características de nuestras motoniveladoras John Deere, con su amplia gama de tamaños y capacidades, desde la 620 hasta la 872, todas con sus versiones en 6x6, la hacen la motoniveladora con una prestación superior sin elevar costos, configurable con circulo de cero mantenimiento NEVER GREASE, su desbloqueo de diferencial automático, clutch y sistema de absorción de golpes en la hoja, permite conservar la integridad del equipo en optimas condiciones operacionales, resultando en eficiencia  bajos costos operativos.","Potencia Neta: 200-250 HP (149-187 kW)
Par de Apriete Máximo Neto: 1288 Nm (950 lb-ft)
Fuerza de Tiro de la Hoja: 15 501 kg (34 173 lb)
Reserva de Par de Apriete Neto: 55 %",,"Urbanización
Infraestructura carretera
Mantenimiento de caminos
Infraestructura minera",,✓,
,,MOTONIVELADORAS,772P,,,,,,772P,"Destreza, Movilidad, Fuerza, algunas de las características de nuestras motoniveladoras John Deere, con su amplia gama de tamaños y capacidades, desde la 620 hasta la 872, todas con sus versiones en 6x6, la hacen la motoniveladora con una prestación superior sin elevar costos, configurable con circulo de cero mantenimiento NEVER GREASE, su desbloqueo de diferencial automático, clutch y sistema de absorción de golpes en la hoja, permite conservar la integridad del equipo en optimas condiciones operacionales, resultando en eficiencia  bajos costos operativos.","Potencia Neta: 220-270 HP (164-201 kW)
Par de Apriete Máximo Neto: 1300 Nm (959 lb-ft)
Fuerza de Tiro de la Hoja: 22 453 kg (49 500 lb)
Reserva de Par de Apriete Neto: 57 %",,"Urbanización
Infraestructura carretera
Mantenimiento de caminos
Infraestructura minera",,✓,
,,MOTONIVELADORAS,870GP,SI,SI,SI,SI,,870GP,"Destreza, Movilidad, Fuerza, algunas de las características de nuestras motoniveladoras John Deere, con su amplia gama de tamaños y capacidades, desde la 620 hasta la 872, todas con sus versiones en 6x6, la hacen la motoniveladora con una prestación superior sin elevar costos, configurable con circulo de cero mantenimiento NEVER GREASE, su desbloqueo de diferencial automático, clutch y sistema de absorción de golpes en la hoja, permite conservar la integridad del equipo en optimas condiciones operacionales, resultando en eficiencia  bajos costos operativos.","Potencia neta del motor: 134–191 kW (180–257 CV)
Par motor neto máximo: 1287 Nm (949 lb.-ft.)
Fuerza de Arrastre de la Hoja: 13 299 kg (29,320 lb.)
Aumento neto del par motor: 60%",,"Urbanización
Infraestructura carretera
Mantenimiento de caminos
Infraestructura minera",,✓,
,,MOTONIVELADORAS,872G,SI,SI,SI ,SI,SI ,872G,"Destreza, Movilidad, Fuerza, algunas de las características de nuestras motoniveladoras John Deere, con su amplia gama de tamaños y capacidades, desde la 620 hasta la 872, todas con sus versiones en 6x6, la hacen la motoniveladora con una prestación superior sin elevar costos, configurable con circulo de cero mantenimiento NEVER GREASE, su desbloqueo de diferencial automático, clutch y sistema de absorción de golpes en la hoja, permite conservar la integridad del equipo en optimas condiciones operacionales, resultando en eficiencia  bajos costos operativos.","Potencia neta del motor: 160–205 kW (214–275 CV)
Par motor neto máximo: 1353 Nm (998 lb.-ft.)
Fuerza de Arrastre de la Hoja: 18 082 kg (39,864 lb.)
Aumento neto del par motor: 53%",,"Urbanización
Infraestructura carretera
Mantenimiento de caminos
Infraestructura minera",,✓,
,,RETROEXCAVADORAS,310P,SI,SI,SI,SI,SI ,310P,"Gama de retroexcavadoras, desde configuraciones básicas 4x2 hasta nuestra ágil y real 4x4 (único en la industría) por su traba de diferencial y limited slip aprovechando toda la fuerza de ataque al material, con cabina cerrada ergonómica totalmente acondicionada y equipada para una operación eficaz. Este equipo te permite desarrollar multitareas, como zanjeo, demolición, cargado, manipulación de materiales en general. ","Potencia neta del motor: 69 kW (91 hp) a 1,800 rpm
Profundidad Máxima de Excavación: 4.27 m (14 ft. 0 in.)
Peso Operativo: 7357 kg (16,219 lb.)",,Versatil para todo tipo de trabajos,,✓,
,,RETROEXCAVADORAS,320P,SI,SI,SI,SI,SI ,320P,"Gama de retroexcavadoras, desde configuraciones básicas 4x2 hasta nuestra ágil y real 4x4 (único en la industría) por su traba de diferencial y limited slip aprovechando toda la fuerza de ataque al material, con cabina cerrada ergonómica totalmente acondicionada y equipada para una operación eficaz. Este equipo te permite desarrollar multitareas, como zanjeo, demolición, cargado, manipulación de materiales en general. ","Potencia neta del motor: 84 kW (113 hp) at 1,900 rpm
Profundidad Máxima de Excavación: 4.35 m (14 ft. 3 in.)
Peso Operativo: 7146 kg (15,754 lb.)",,Versatil para todo tipo de trabajos,,✓,
,,,,,,,,,,,,,,,,
WIRTGEN,PAVIMENTACIÓN,FRESADORAS,W 50 R(i),SI,SI,SI,SI,,W 50 R(i),"Esta fresadora en frío de medio metro extremadamente potente presenta un concepto operativo moderno y eficiente con una anchura de trabajo de 0,5 m.
Las funciones automáticas y adicionales de manejo sencillo incrementan el potencial de rendimiento de la máquina para finalizar rápidamente cualquier trabajo de fresado.
El moderno sistema de nivelación LEVEL PRO PLUS plenamente integrado en el control de la máquina garantiza unos resultados de fresado de alta precisión.","Peso de servicio, CE 6,930 kg
Anchura de fresado 500 mm
Profundidad de fresado máx.  210 mm
Potencia máxima 100 kW / 136 PS
Potencia nominal 100 kW / 136 PS 2.300 min-1



",,,,✓,
,,FRESADORAS,W 60 R(i),SI ,SI ,SI ,SI ,,W 60 R(i),"El moderno sistema de nivelación LEVEL PRO PLUS plenamente integrado en el control de la máquina garantiza unos resultados de fresado de alta precisión.
La máquina se puede equipar con toda una serie de tambores de fresado diferentes, lo que incrementa su flexibilidad y utilidad.
El alto rendimiento del motor de la máquina con un momento de giro óptimo garantiza un servicio rápido y potente independientemente de la profundidad de fresado.","Peso de servicio, CE 7,450 kg
Profundidad de fresado máx. 210 mm
Potencia máxima 100 kW / 136 PS
Potencia nominal 100 kW / 143 PS 2.300 min-1

",,,,✓,
,,FRESADORAS,W 150 F,SI,SI,SI,SI,,W 150 F,"La fresadora en frío más potente de la clase compacta es especialmente adecuada para proyectos de construcción de tamaño medio en espacios reducidos, como en el centro de las ciudades.
El innovador control de máquina MILL ASSIST garantiza un uso eficiente y duradero de la máquina con una alta productividad.","Peso de servicio, CE 20,900 kg
Anchura de fresado 1,500 mm
Profundidad de fresado máx. 330 mm
Potencia máxima 276 kW / 375 PS
Potencia nominal 276 kW / 375 PS

",,,,✓,
,,FRESADORAS,W 200 F,SI ,SI ,SI ,SI ,,W 200 F,"Su innovador sistema de control de máquina MILL ASSIST permite un uso eficiente de la máquina en modo automático, además de un alto rendimiento y una gran sencillez para el usuario.
La máquina realiza trabajos de fresado con máxima precisión gracias al avanzado sistema de nivelación LEVEL PRO ACTIVE.","Peso de servicio, CE 27,750 kg
Anchura de fresado 2,000 mm
Profundidad de fresado máx. 330 mm
Potencia máxima 455 kW / 619 PS
Potencia nominal 447 kW / 608 PS 2.100 min-1
",,,,✓,
,,FRESADORAS,W 210 F(i),SI,SI,SI,SI,,W 210 F(i),"Potente fresadora en frío que maneja un amplio espectro de aplicaciones, desde el saneamiento de capas de rodadura hasta los trabajos de fresado firme, pasando por la eliminación completa.
Cuenta con una enorme gama de aplicaciones que se amplía con cambios rápidos de la unidad de fresado y cambios especialmente rápidos del tambor de fresado","Peso de servicio, CE 29,300 kg
Anchura de fresado 2,000 mm
Profundidad de fresado máx. 330 mm
Potencia máxima 571 kW / 777 PS 1.800 min-1
Potencia nominal 571 kW / 777 PS 2.100 min-1



",,,,✓,
,,RECICLAJE,WR 200(i),SI ,SI ,SI ,SI ,,WR 200(i),"La amplia serie de máquinas WR de Wirtgen ofrece la solución adecuada para cada tarea de estabilización de suelos y reciclaje en frío. Así, las máquinas están perfectamente preparadas para la estabilización eficaz de grandes superficies de suelos. El proceso de estabilización convierte suelos de poca calidad en un material de construcción de alta calidad. ","Peso de servicio, CE 24,200 kg
Anchura de trabajo 2.000 mm
Profundidad de trabajo 500 mm
Potencia máxima 315 kW / 428 PS 1.800 min-1
Potencia nominal 315 kW / 428 PS
",,,,✓,
,,RECICLAJE,WR 240(i),SI,SI,SI,SI,,WR 240(i),"La serie amplia de máquinas WR de Wirtgen ofrece la solución adecuada para cada tarea de estabilización de suelos y reciclaje en frío. Así, las máquinas están perfectamente preparadas para la estabilización eficaz de grandes superficies de suelos. El proceso de estabilización convierte suelos de poca calidad en un material de construcción de alta calidad. 
La ergonomía y visibilidad perfectas, la enorme capacidad de rendimiento y la elevada calidad de mezcla, la óptima capacidad de marcha sobre todo terreno, las funciones automáticas y muchas otras características destacadas convierten a la WR en la pionera de los grandes volúmenes a bajo costo en todas las obras de estabilización de suelos.","Peso de servicio, CE 30,000 kg
Anchura de trabajo 2.400 mm
Profundidad de trabajo 510 mm
Potencia máxima 455 kW / 619 PS 1.900 min-1
Potencia nominal 455 kW / 619 PS

",,,,✓,
,,RECICLAJE,WR 250(i),SI ,SI ,SI ,SI ,,WR 250(i),"La serie amplia de máquinas WR de Wirtgen ofrece la solución adecuada para cada tarea de estabilización de suelos y reciclaje en frío. Así, las máquinas están perfectamente preparadas para la estabilización eficaz de grandes superficies de suelos. El proceso de estabilización convierte suelos de poca calidad en un material de construcción de alta calidad. 
La ergonomía y visibilidad perfectas, la enorme capacidad de rendimiento y la elevada calidad de mezcla, la óptima capacidad de marcha sobre todo terreno, las funciones automáticas y muchas otras características destacadas convierten a la WR en la pionera de los grandes volúmenes a bajo costo en todas las obras de estabilización de suelos.","Peso de servicio, CE 31,700 kg
Anchura de trabajo 2.400 mm
Profundidad de trabajo 560 mm
Potencia máxima 571 kW / 777 PS 1.800 min-1
Potencia nominal 571 kW / 777 PS

",,,,✓,
,,RECICLAJE,KMA 240(i),SI,SI,SI,SI,,KMA 240(i),"La KMA 240 destaca por su movilidad, superando a otros modelos. Usted elige el lugar de trabajo, la calidad del aglomerado y el ritmo de producción, todo con un enfoque económico, potente y ecológico.","Peso de servicio, CE 31,650 kg
Ancho de llenado 3,710 mm
Capacidad de mezcla 240 t/h
Potencia nominal 129,4 kW / 176 PS 2.100 min-1
",,,,✓,
,,EXTENDEDORAS,SP 15(i),SI ,SI ,SI ,SI ,,SP 15(i),La extendedora de encofrado deslizante debe su amplio campo de aplicaciones al posicionamiento extraordinariamente flexible del encofrado deslizante y los trenes de orugas. ,"Peso de servicio, CE 10,350 kg
Anchura máx. de encofrado 1,800 mm
Potencia nominal 92 kW / 125 PS 2.100 min-1
Altura máx. de encofrado 1,300 mm

",,,,✓,
,,EXTENDEDORAS,SP 64(i),SI,SI,SI,SI,,SP 64(i),"La versátil extendedora de encofrado deslizante de cuatro orugas destaca por una enorme variedad de aplicaciones en la construcción de carreteras y superficies de aeropuertos de entre 2,0 m y 7,5 m de anchura y 450 mm de espesor.","Peso de servicio, CE 19,000 kg
Anchura máx. de encofrado 7,500 mm
Potencia nominal 155 kW / 211 PS 2.300 min-1
Altura máx. de encofrado 450 mm",,,,✓,
,,EXTENDEDORAS,220 SM(i),SI ,SI ,SI ,SI ,,220 SM(i),"La 220 SM es la opción principal no solamente para utilizarlo en operaciones mineras de pequeña y mediana escala, sino también para obras viales y proyectos de infraestructura.
","Peso de servicio, CE 53,150 kg
Anchura de corte máx. 2,200 mm
Profundidad de corte 300 mm",,,,✓,
,,EXTENDEDORAS,220 SM 3.8(i),SI,SI,SI,SI,,220 SM(i) 3.8,"La colocación del material en hileras ha dado excelentes resultados en el proceso de extracción. Este método permite reconocer aún mejor la calidad del material y obtener el carbón de la manera más económica posible. En la colocación en hileras, el carbón cortado se deposita directamente detrás de la máquina entre los mecanismos de traslación, sin necesidad de usar una cinta de carga.
","Peso de servicio, CE 58,050 kg
Anchura de corte máx. 3,800 mm
Profundidad de corte 350 mm
Potencia nominal 708 kW / 963 PS

",,,,✓,
,,EXTENDEDORAS,260 SX(i),SI ,SI ,SI ,SI ,,260 SX(i),"El 260 SX ofrece soluciones para proyectos infraestructurales con los requisitos más exigentes y destaca por su óptima disponibilidad y los máximos rendimientos por jornada.
Entre sus campos de actividad se cuentan los trabajos de trazado para la construcción de carreteras y ferrocarriles y gasoductos o también los trabajos en túneles.","Profundidad de corte (hasta) 650 mm 
Anchura tambores de corte 2750 mm",,,,✓,
KLEEMANN,,TRITURADORAS,MR 130(i) EVO 2,SI,SI,SI,SI,,MR 130(i) EVO 2,"La trituradora de impacto móvil MR 130(i) EVO2 es un todoterreno de aplicación universal y produce una calidad del grano final de primera clase. Con una anchura de entrada de trituraciòn de 1300 mm alcanza un nivel de rendimiento que hasta ahora solamente se conocía en instalaciones de trituración considerablemente más grandes. Esta excelente rentabilidad y capacidad de rendimiento resulta posible debido a un gran número de puntos técnicos destacados. Gracias a su forma constructiva compacta, la instalación es fácil de transportar para montar y desmontar rápidamente.
","Unidad de potencia: D-DRIVE (diésel directo)
Tamaño de entrada máxima: 1.040 mm x 650 mm x 390 mm
Capacidad de alimentación máxima: 450
t/h",,,,✓,
,,TRITURADORAS,MCO 90(i) EVO2,SI ,SI ,SI ,SI ,,MCO 90(i) EVO2,"El concepto operativo SPECTIVE permite utilizar de forma sencilla e intuitiva todo el potencial de las máquinas. Esta herramienta muestra los datos importantes, como la velocidad, los valores de consumo, la productividad y los niveles de llenado, también proporciona mensajes de fallo. De este modo, no es necesario interrumpir el trabajo para comprobar el estado. Esto permite un funcionamiento seguro y eficiente.
La MCO 90(i) EVO2, con sus diferentes herramientas de trituración, cubre distancias de ajuste que van de 6 a 45 mm. Para esta amplia gama de aplicaciones no son necesarias otras tareas de conversión en la trituradora.
","Unidad de potencia: D-DRIVE (diésel directo)
Tamaño de entrada máxima: 200mm
Capacidad de alimentación máxima: 270 t/h
",,,,✓,
,,TRITURADORAS,MSS 502(i) EVO,SI,SI,SI,SI,,MSS 502(i) EVO,"La amplia oferta de superficies de criba y el sencillo ajuste de parámetros de criba permite adaptar la MSS EVO fácilmente a las nuevas condiciones de utilización. Si hay que cribar un producto final fino a partir de un material de carga especialmente grueso, las trituradoras pueden modificarse con rapidez de tres a dos granulometrías finales.","Unidad de potencia: D-DRIVE (diésel directo)
Tamaño de entrada máxima: 640 mm x 400 mm x 240 mm
 Capacidad de alimentación máxima: 350 t/h
",,,,✓,
,,TRITURADORAS,MSS 802(i) EVO,SI ,SI ,SI ,SI ,,MSS 802(i) EVO,"La amplia oferta de superficies de criba y el sencillo ajuste de parámetros de criba permite adaptar la MSS EVO fácilmente a las nuevas condiciones de utilización. Si hay que cribar un producto final fino a partir de un material de carga especialmente grueso, las trituradoras pueden modificarse con rapidez de tres a dos granulometrías finales.","Unidad de potencia: H-DRIVE (Diésel-hidráulico)
Tamaño de entrada máxima: 800 mm x 500 mm x 300 mm
 Capacidad de alimentación máxima: 500
t/h",,,,✓,
,,TRITURADORAS,MS 953(i) EVO,SI,SI,SI,SI,,MS 953(i) EVO,"Las nuevas trituradoras de criba MOBISCREEN EVO destacan por la flexibilidad de su utilización, excelente transportabilidad, rápidos plazos de preparación y un funcionamiento eficiente; y, por supuesto, con unos valores de rendimiento insuperables.
La trituradora de criba móvil MOBISCREEN MS 953(i) EVO está equipada con una gran caja de la criba de 9,5 m². La trituradora de criba de triple cubierta asombra por su capacidad de alimentación de hasta 500 t/h. El manejo se realiza mediante un moderno sistema de control, de esta manera, todas las funciones se pueden controlar fácilmente y es posible visualizar en todo momento los estados operativos y funciones de la máquina.
","Unidad de potencia: H-DRIVE (Diésel-hidráulico)
Tamaño de entrada máxima: 160 mm x 100 mm x 60 mm
Capacidad de alimentación máxima: 500
t/h",,,,✓,
,,TRITURADORAS,MC 110(i) EVO 2,SI ,SI ,SI ,SI ,,MC 110(i) EVO 2,"La MC 110(i) EVO 2 sorprende por su concepto de accionamiento global gracias al eficiente accionamiento diésel directo. En el modo ECO, también es posible reducir el consumo de combustible y el desgaste en las fases de marcha en vacío.
El ventilador dependiente del rendimiento y la carga proporciona un funcionamiento silencioso y aún más rentable.
Gracias a una reducción del ruido óptima, la instalación también es especialmente adecuada para su uso en zonas urbanas.
","Unidad de potencia: D-DRIVE (diésel directo)
Tamaño de entrada máxima: 39 in x 25 in x 15 in
Capacidad de alimentación máxima: 441
US t/hr",,,,✓,
,,TRITURADORAS,MR 110(i) EVO2,SI,SI,SI,SI,,MR 110(i) EVO2,"La trituradora de impacto móvil MOBIREX MR 110 EVO2 es de aplicación universal y produce una calidad del grano final de primera clase. Con una boca de la machacadora de 1100 mm y un gran número de puntos técnicos destacados puede conseguirse un rendimiento considerable con la máxima rentabilidad. Gracias a su forma constructiva compacta, la máquina es fácil de transportar y se puede montar y desmontar rápidamente.","Unidad de potencia: D-DRIVE (diésel directo)
Tamaño de entrada máxima: 880 mm x 550 mm x 330 mm
Capacidad de alimentación máxima: 350
t/h",,,,FOTO APLICACION MUY BAJA RESOLUCIÓN,
,,TRITURADORAS,MC 120(i) PRO,SI ,SI ,SI ,SI ,,MC 120(i) PRO,"La MOBICAT MC 120 PRO, la primera trituradora de mandíbulas de la línea PRO, se utiliza para el pretriturado de prácticamente todo tipo de piedra natural. La trituradora de mandíbulas tiene un diseño especialmente robusto y sorprende por no necesitar apenas mantenimiento. La máquina es garantía de un elevado rendimiento de producción.","Unidad de potencia: E-DRIVE (diésel-eléctrico)
Tamaño de entrada máxima: 1.080 mm x 680 mm x 410 mm
Capacidad de alimentación máxima: 650
t/h",,,,✓,
VöGELE,,EXTENDEDORAS,SUPER 700(i),SI,SI,SI,SI,,SUPER 700(i),"Gracias a sus dimensiones reducidas, anchos de extendido variables y alta capacidad de rendimiento, las Super 700(i) y Super 800(i) son las mini extendedoras ideales para la construcción de carriles de bici, sendas peatonales, obras pequeñas y trabajos de recuperación. Su excelente relación calidad-precio, junto con un sistema de manejo extremadamente sencillo, las convierte en las aliadas perfectas para la construcción de espacios públicos, áreas ajardinadas y trabajos municipales.
","Anchura básica de 1.33m
Anchura de extendido máx. 3.2m
Rendimeinto de extendido máx. 250t/h",,,,✓,
,,EXTENDEDORAS,SUPER 800(i),SI ,SI ,SI ,SI ,,SUPER 800(i),"La SUPER 800(i) es una extendedora Mini Class con máximo espectro de aplicaciones.
Esta consigue con la regla de extendido AB 200 TV así como con la AB 220 TV una precompactación extraordinariamente alta en esta clase.
SUPER 800(i) es la extendedora pequeña ideal para numerosas aplicaciones, como la construcción y reparación de vías industriales, pequeñas carreteras y vías peatonales o carriles bici. La relación ideal precio/prestaciones de la SUPER 800(i) la convierte en la compañera ideal para servicios municipales.

","Anchura básica de 1.33m
Anchura de extendido máx. 3.5m
Rendimeinto de extendido máx. 300t/h",,,,✓,
,,EXTENDEDORAS,SUPER 1300,SI,SI,SI,SI,,SUPER 1300,"Compacta y potente, con el confort de la Premium Line, disponible en versiones de orugas o ruedas.
La SUPER 1300 es una extendedora sobre orugas extremadamente compacta, pero a pesar de su tamaño, ofrece un alto rendimiento con una capacidad de extendido. Ya sea para aceras y carriles bici, vías industriales o calles y plazas pequeñas, la SUPER 1300 realiza estas tareas sin esfuerzo, con una gama de extendido variante.
","Anchura básica de 1.85m
Anchura de extendido máx. 5m
Rendimeinto de extendido máx. 350t/h",,,,✓,
,,EXTENDEDORAS,SUPER 1400,SI,SI,SI,SI,,SUPER 1400,"La Super 1400 marca el camino hacia el futuro de la construcción de carreteras, disponible en versiones de orugas o ruedas. El chasis y los sistemas de gestión de materiales de esta máquina son inigualables en cuanto a robustez, gracias a los innovadores componentes de tecnología de punta integrados en su diseño. Este diseño tiene un único propósito: mejorar la calidad y la seguridad en el trabajo en la construcción de carreteras.","Anchura básica de 2.55m
Anchura de extendido máx. 6.3m
Rendimeinto de extendido máx. 600t/h",,,,✓,
,,EXTENDEDORAS,SUPER 1600-3(i),SI ,SI ,SI ,SI ,,SUPER 1600-3(i),"La extendedora sobre orugas SUPER 1600-3(i) de la Universal Class es muy maniobrable y versátil. Dispone de componentes de accionamiento altamente eficientes, por lo que trabaja de forma especialmente económica y ecológica.
Con el diseño de panel ErgoPlus 3 se experimenta lo bien que puede dominar la técnica más moderna. Con el ergonómico concepto de mando de VÖGELE, la extendedora se maneja segura y fácilmente.
Su potente motor Cummins QSB 4.5 ofrece un desempeño de 116 kW @ 2000 rpm al mismo tiempo que permite tener un consumo optimizado de acuerdo a cada condición de trabajo.","Anchura básica de 2.55m
Anchura de extendido máx. 7.5m
Rendimeinto de extendido máx. 600t/h",,,,✓,
,,EXTENDEDORAS,SUPER 1800-3(i),SI,SI,SI,SI,,SUPER 1800-3(i),"La SUPER 1800-3(i), la extendedora sobre orugas más potente de su clase, domina una gama increíblemente variada de aplicaciones. Con una anchura de extendido máxima de 10 m y una longitud de sólo 6,04 m, la extendedora domina tanto las autopistas como las rotondas estrechas.
La clase SUPER 1800 de VÖGELE es legendaria. Ninguna otra extendedora del mundo es tan apreciada entre los constructores de carreteras profesionales. La SUPER 1800-3(i) se presenta con una técnica de accionamiento completamente revisada y vincula totalmente las acreditadas características de su predecesora.
",Anchura de extendido máx. 10 m,,,,✓,
,,EXTENDEDORAS,SUPER 1800-3(i) SPRAYJET,SI ,SI ,SI ,SI ,,SUPER 1800-3(i) SPRAYJET,"La SUPER 1800-3(i) SprayJet es indicada tanto para el extendido de capas finas en caliente sobre sellado como para el extendido convencional con riego previo. El módulo de riego SprayJet ofrece muchas ventajas desde el punto de vista tecnológico.
La SprayJet de VÖGELE tiene una amplia gama de innovaciones extraordinarias. Entre ellas, especialmente importante es la integración del panel de mando para el módulo de riego en el concepto de mando ErgoPlus 3 de VÖGELE.
","Anchura básica de 2.55m
Anchura de extendido máx. 6m
Rendimeinto de extendido máx. 700t/h",,,,✓,
,,EXTENDEDORAS,SUPER 2100-5(i),SI,SI,SI,SI,,SUPER 2100-5(i),"Con la extendedora sobre orugas SUPER 2100-5, VÖGELE ha dado dos pasos hacia el futuro: Una nueva ergonomía de manejo, más procesos automatizados, tiempos de preparación más cortos y menos emisiones sonoras y de escape. Autopistas y otros exigentes proyectos de gran envergadura son el ámbito de tareas de la extendedora de la Highway Class.","Anchura básica de 2.55m
Anchura de extendido máx. 14m
Rendimeinto de extendido máx. 1,100t/h",,,,✓,
,,EXTENDEDORAS,MT 3000-3(i) OFFSET,SI ,SI ,SI ,SI ,,MT 3000-3(i) OFFSET,La alimentadora de alto rendimiento MT 3000-3(i) Offset es el socio perfecto para disponer de una elevada capacidad de transporte confiable y una alimentación de las extendedoras continua y sin contacto. Está equipada con una cinta transportadora oscilante 55°. Lo que ofrece muchas posibilidades de aplicación adicionales.,"Capacidad de transporte sistema de cintas (hasta) 1,200 t/h
Peso 24,185kg
Anchura de transporte 3m",,,,✓,
HAMM,,COMPACTADORES,HC 110,SI,SI,SI,SI,,HC 110,"Con su alta carga lineal estática, este rodillo es ideal para aplicaciones universales en proyectos de infraestructura como la construcción de carreteras, aeropuertos y otras grandes superficies. Su potente motor asegura una fuerza de compactación constante, y la vibración se activa de inmediato al alcanzar la frecuencia nominal.","Peso 11.595 kg
Anchura de cilindro 2.140 mm
Categoria normativa de emisiones UE Fase IIIA/EPA Tier 3",,,,✓,
,,COMPACTADORES,HC 119,SI ,SI ,SI ,SI ,,HC 119,"El HC119, con moderna tecnología de compactación, es un equipo potente y económico con el que HAMM satisface las necesidades de los mercados regionales. Ofrece potencia más que suficiente en obra y es considerablemente más económico que modelos anteriores, gracias al modo ECO. Además, proporciona una plataforma de control cómoda, con excelentes características de conducción y manejo.","Peso 11.745 kg
Anchura de cilindro 2.140 mm
",,,,✓,
,,COMPACTADORES,HC 208 D,SI,SI,SI,SI,,HC 208 D,"El Rodillo de Suelos HC 208 D, con un peso de 20 Tn, es ideal para trabajos de alta producción, como la compactación de bases de represas y grandes espesores. Este equipo puede sustituir el trabajo de varios rodillos de menor peso. Los compactadores están disponibles con accionamiento del tambor, y cuentan con un puesto de conducción moderno y práctico. Gracias a su articulación de tres puntos, ofrece excelentes características de conducción y manejo. Además, el modo ECO altamente eficiente permite ahorrar hasta un 20 % de combustible.",,,,,✓,
